receptor,ligand,n_db,m_r_score,m_l_score,m_r_lfc,m_l_lfc,h_r_score,h_l_score,h_r_lfc,h_l_lfc,m_strict,h_strict,conservation,m_mismatch_score,h_mismatch_score,avg_mismatch_score
CXCR3,CCL7,4,-0.11,1.61,-5.2,-33.04,0.07,-0.01,2.4483,-16.9899,no,trend,human_only,0.0,0.0002,0.0001
ACKR1,CCL8,4,-2.03,10.04,-2.78,-6.34,-0.03,-0.02,-1.64,-0.3895,no,no,neither,0.0,0.0,0.0
ACKR2,CCL8,5,-10.37,10.04,-11.23,-6.34,0.08,-0.02,1.6637,-0.3895,no,trend,human_only,0.0,0.0002,0.0001
ACKR4,CCL8,4,-23.12,10.04,-53.5,-6.34,0.56,-0.02,0.7192,-0.3895,no,trend,human_only,0.0,0.0014,0.0007
CCR1,CCL8,5,-0.19,10.04,-2.44,-6.34,-0.02,-0.02,-0.4906,-0.3895,no,no,neither,0.0,0.0,0.0
CCR2,CCL8,5,-0.19,10.04,-3.47,-6.34,0.0,-0.02,-0.1161,-0.3895,no,trend,human_only,0.0,0.0,0.0
CCR3,CCL8,5,-0.01,10.04,-0.28,-6.34,0.04,-0.02,0.7289,-0.3895,no,trend,human_only,0.0,0.0001,0.0001
CCR5,CCL8,5,-0.37,10.04,-1.97,-6.34,-0.04,-0.02,-19.9691,-0.3895,no,no,neither,0.0,0.0,0.0
ITGA5,CCN1,4,33.0,32.84,17.47,-156.37,0.93,-4.4,0.3136,-0.8004,no,trend,human_only,0.0,0.0133,0.0067
ITGAM,CCN1,4,-0.35,32.84,-2.12,-156.37,0.34,-4.4,0.6314,-0.8004,no,trend,human_only,0.0,0.0118,0.0059
ITGAV,CCN1,4,71.96,32.84,50.48,-156.37,1.38,-4.4,0.1033,-0.8004,no,trend,human_only,0.0,0.0144,0.0072
ITGB2,CCN1,4,-0.42,32.84,-1.87,-156.37,0.28,-4.4,0.6003,-0.8004,no,trend,human_only,0.0,0.0117,0.0058
ITGB3,CCN1,4,13.35,32.84,4.57,-156.37,0.53,-4.4,0.295,-0.8004,no,trend,human_only,0.0,0.0123,0.0062
ITGB5,CCN1,4,65.68,32.84,150.65,-156.37,0.11,-4.4,-0.0112,-0.8004,no,trend,human_only,0.0,0.0113,0.0056
ERBB4,CCN2,3,-0.17,134.6,-1.86,inf,-2.58,-2.85,-0.0342,-0.6087,no,no,neither,0.0,0.0,0.0
ITGA5,CCN2,4,33.0,134.6,17.47,inf,0.93,-2.85,0.3136,-0.6087,no,trend,human_only,0.0,0.0095,0.0047
ITGAM,CCN2,4,-0.35,134.6,-2.12,inf,0.34,-2.85,0.6314,-0.6087,no,trend,human_only,0.0,0.008,0.004
ITGB2,CCN2,4,-0.42,134.6,-1.87,inf,0.28,-2.85,0.6003,-0.6087,no,trend,human_only,0.0,0.0078,0.0039
LRP1,CCN2,4,-46.22,134.6,-169.36,inf,11.54,-2.85,0.9567,-0.6087,no,trend,human_only,0.0,0.036,0.018
LRP6,CCN2,4,42.56,134.6,12.87,inf,1.67,-2.85,0.1581,-0.6087,no,trend,human_only,0.0,0.0113,0.0057
NTRK1,CCN2,4,5.92,134.6,-3.0,inf,0.18,-2.85,1.4257,-0.6087,no,trend,human_only,0.0,0.0076,0.0038
NOTCH1,CCN3,4,28.94,42.08,4.4,48.04,1.81,-0.07,0.7993,-0.23,no,trend,human_only,0.0,0.0047,0.0024
ITGA4,CD14,4,0.71,-6.61,-0.63,-10.23,-0.12,-0.54,-0.2517,-0.3121,trend,no,mouse_only,0.0183,0.0,0.0091
ITGB1,CD14,4,118.2,-6.61,334.47,-10.23,5.8,-0.54,0.4347,-0.3121,yes,trend,CONSERVED_relaxed,0.312,0.0158,0.1639
TNFRSF14,CD160,3,1.63,0.0,0.06,-3.09,-0.64,0.4,-0.4215,1.7933,no,no,neither,0.0,0.0,0.0
CD200R1,CD200,3,0.19,56.04,-1.78,26.5,-0.09,2.05,-0.6496,0.1171,no,no,neither,0.0,0.0,0.0
SELP,CD24,5,1.52,,0.91,,-0.37,-0.02,-0.7594,-18.6912,no_data,no,neither,0.0,0.0,0.0
CD80,CD274,3,15.07,-0.46,4.24,-2.56,0.2,0.34,1.4472,0.2729,trend,no,mouse_only,0.0388,0.0,0.0194
PDCD1,CD274,3,-0.47,-0.46,-2.42,-2.56,0.02,0.34,0.1776,0.2729,no,no,neither,0.0,0.0,0.0
SELL,CD34,5,-0.04,-122.67,-2.29,-inf,0.25,-2.31,0.8703,-0.3943,no,trend,human_only,0.0,0.0064,0.0032
SELP,CD34,4,1.52,-122.67,0.91,-inf,-0.37,-2.31,-0.7594,-0.3943,trend,no,mouse_only,0.3105,0.0,0.1552
CD40,CD40LG,5,-8.21,-0.02,-11.34,-23.84,0.4,-0.01,0.2553,-17.3455,no,trend,human_only,0.0,0.001,0.0005
ADGRE5,CD55,5,17.17,-40.54,-10.88,-98.41,3.05,-3.59,1.2854,-0.5262,yes,yes,CONSERVED_strict,0.1443,0.0166,0.0804
CR1,CD55,3,,-40.54,,-98.41,0.36,-3.59,1.0482,-0.5262,no_data,trend,human_only,0.0,0.0099,0.0049
CD2,CD58,3,0.77,,0.11,,0.04,-2.1,0.1806,-0.4683,no_data,trend,human_only,0.0,0.0054,0.0027
CD5,CD5L,4,-0.13,-0.09,-4.03,-3.07,0.32,0.33,2.1362,2.1424,no,no,neither,0.0,0.0,0.0
ALCAM,CD6,3,3.4,-0.02,-3.85,-2.31,-0.4,0.0,-0.1679,-0.1752,trend,no,mouse_only,0.0085,0.0,0.0043
CD27,CD70,5,0.21,0.03,-1.44,2.64,0.2,-0.1,1.4558,-1.8624,no,trend,human_only,0.0,0.0008,0.0004
CD28,CD86,3,-0.57,-0.38,-2.31,-2.48,0.02,0.06,0.0266,0.1048,no,no,neither,0.0,0.0,0.0
CTLA4,CD86,3,-0.05,-0.38,-2.26,-2.48,0.03,0.06,2.2081,0.1048,no,no,neither,0.0,0.0,0.0
PILRA,CD99,3,1.29,,0.19,,0.3,6.72,0.1182,0.5499,no_data,no,neither,0.0,0.0,0.0
EGFR,CDH1,4,36.78,-0.61,9.12,-2.41,-0.87,-0.93,-0.0943,-1.2691,trend,no,mouse_only,0.0935,0.0,0.0467
IGF1R,CDH1,4,26.97,-0.61,-0.05,-2.41,0.44,-0.93,0.0438,-1.2691,trend,trend,CONSERVED_relaxed,0.069,0.0034,0.0362
ITGAE,CDH1,4,0.4,-0.61,-0.35,-2.41,1.94,-0.93,0.5818,-1.2691,trend,trend,CONSERVED_relaxed,0.0025,0.0072,0.0048
ITGB7,CDH1,4,0.08,-0.61,-1.53,-2.41,0.05,-0.93,0.3004,-1.2691,trend,trend,CONSERVED_relaxed,0.0017,0.0025,0.0021
KLRG1,CDH1,4,,-0.61,,-2.41,0.57,-0.93,0.3622,-1.2691,no_data,trend,human_only,0.0,0.0038,0.0019
PTPRF,CDH1,3,46.49,-0.61,18.68,-2.41,3.32,-0.93,0.2102,-1.2691,trend,trend,CONSERVED_relaxed,0.1177,0.0106,0.0642
PTPRM,CDH1,4,22.85,-0.61,2.62,-2.41,3.18,-0.93,0.2644,-1.2691,trend,trend,CONSERVED_relaxed,0.0587,0.0103,0.0345
CD209,CEACAM1,3,,-2.66,,-7.73,0.07,0.6,0.7535,1.0199,no_data,no,neither,0.0,0.0,0.0
SELE,CEACAM1,3,1.0,-2.66,0.6,-7.73,0.04,0.6,-0.2442,1.0199,trend,no,mouse_only,0.0092,0.0,0.0046
CD1D,CEACAM5,3,,,,,0.09,0.05,1.8707,1.4506,no_data,no,neither,0.0,0.0,0.0
CXCR4,CEL,4,0.41,0.01,-1.02,-0.75,-0.08,0.52,-1.3128,0.9913,no,no,neither,0.0,0.0,0.0
ITGAM,CFH,4,-0.35,-118.09,-2.12,-inf,0.34,-2.71,0.6314,-0.011,no,trend,human_only,0.0,0.0076,0.0038
SELL,CFH,4,-0.04,-118.09,-2.29,-inf,0.25,-2.71,0.8703,-0.011,no,trend,human_only,0.0,0.0074,0.0037
FSHR,CGA,3,,,,,0.29,0.07,-0.0052,2.3698,no_data,no,neither,0.0,0.0,0.0
LHCGR,CGA,4,0.11,,0.22,,-0.04,0.07,-0.137,2.3698,no_data,no,neither,0.0,0.0,0.0
TSHR,CGA,3,0.45,,0.65,,1.7,0.07,1.2325,2.3698,no_data,no,neither,0.0,0.0,0.0
LHCGR,CGB8,4,0.11,,0.22,,-0.04,,-0.137,,no_data,no,neither,0.0,0.0,0.0
F11R,CGN,4,-15.15,-3.18,-25.07,-1.94,0.29,4.8,0.0321,0.4556,no,no,neither,0.0,0.0,0.0
ITGA2,CHAD,4,4.21,0.1,0.74,-3.61,-1.09,0.3,-0.4748,0.9026,no,no,neither,0.0,0.0,0.0
ITGB1,CHAD,4,118.2,0.1,334.47,-3.61,5.8,0.3,0.4347,0.9026,no,no,neither,0.0,0.0,0.0
CNTFR,CLCF1,4,1.41,6.35,-21.82,0.51,1.09,0.69,1.1276,0.4097,no,no,neither,0.0,0.0,0.0
CRLF1,CLCF1,4,80.26,6.35,107.22,0.51,1.29,0.69,1.1214,0.4097,no,no,neither,0.0,0.0,0.0
IL6ST,CLCF1,4,28.27,6.35,5.93,0.51,6.01,0.69,0.3514,0.4097,no,no,neither,0.0,0.0,0.0
LIFR,CLCF1,4,-2.99,6.35,-14.72,0.51,2.4,0.69,0.2952,0.4097,no,no,neither,0.0,0.0,0.0
KLRF2,CLEC2A,3,,,,,0.15,0.1,2.3422,0.9813,no_data,no,neither,0.0,0.0,0.0
KLRF1,CLEC2B,3,,,,,0.06,0.63,0.1491,0.3614,no_data,no,neither,0.0,0.0,0.0
KLRB1,CLEC2D,3,,34.42,,2.38,0.31,0.97,1.814,0.1118,no_data,no,neither,0.0,0.0,0.0
CNTFR,CNTF,4,1.41,0.42,-21.82,-0.31,1.09,-0.07,1.1276,-20.4119,no,trend,human_only,0.0,0.0029,0.0015
IL6R,CNTF,4,,0.42,,-0.31,-0.33,-0.07,-0.0902,-20.4119,no_data,no,neither,0.0,0.0,0.0
IL6ST,CNTF,4,28.27,0.42,5.93,-0.31,6.01,-0.07,0.3514,-20.4119,no,trend,human_only,0.0,0.0152,0.0076
LIFR,CNTF,4,-2.99,0.42,-14.72,-0.31,2.4,-0.07,0.2952,-20.4119,no,trend,human_only,0.0,0.0062,0.0031
CNTN1,CNTN2,4,-5.38,5.75,-6.61,-0.99,0.47,-0.03,0.2764,-0.1414,no,trend,human_only,0.0,0.0012,0.0006
CNTNAP2,CNTN2,4,-0.78,5.75,-1.93,-0.99,4.49,-0.03,0.4414,-0.1414,no,trend,human_only,0.0,0.0113,0.0057
NRCAM,CNTN2,4,1.1,5.75,0.67,-0.99,-0.63,-0.03,-0.4149,-0.1414,no,no,neither,0.0,0.0,0.0
PTPRG,CNTN4,4,,-0.15,,-1.38,1.57,-4.12,0.0744,-0.4162,no_data,trend,human_only,0.0,0.0142,0.0071
DDR1,COL11A1,4,23.08,99.35,4.04,131.21,1.52,-0.31,0.2614,-0.1834,no,trend,human_only,0.0,0.0046,0.0023
CD44,COL14A1,4,45.04,175.25,65.3,454.94,4.13,1.06,0.4064,0.1622,no,no,neither,0.0,0.0,0.0
GPC1,COL18A1,4,25.59,22.26,10.1,8.99,1.73,7.61,0.629,0.7096,no,no,neither,0.0,0.0,0.0
GPC4,COL18A1,4,74.65,22.26,40.1,8.99,1.7,7.61,0.1929,0.7096,no,no,neither,0.0,0.0,0.0
ITGA5,COL18A1,4,33.0,22.26,17.47,8.99,0.93,7.61,0.3136,0.7096,no,no,neither,0.0,0.0,0.0
ITGB1,COL18A1,4,118.2,22.26,334.47,8.99,5.8,7.61,0.4347,0.7096,no,no,neither,0.0,0.0,0.0
KDR,COL18A1,4,-8.67,22.26,-27.74,8.99,9.56,7.61,0.6615,0.7096,no,no,neither,0.0,0.0,0.0
CD36,COL1A1,4,-12.65,,-99.2,,4.47,8.68,0.4882,1.2811,no_data,no,neither,0.0,0.0,0.0
CD44,COL1A1,4,45.04,,65.3,,4.13,8.68,0.4064,1.2811,no_data,no,neither,0.0,0.0,0.0
CD93,COL1A1,4,-3.02,,-15.73,,0.72,8.68,0.5064,1.2811,no_data,no,neither,0.0,0.0,0.0
DDR1,COL1A1,4,23.08,,4.04,,1.52,8.68,0.2614,1.2811,no_data,no,neither,0.0,0.0,0.0
DDR2,COL1A1,4,-11.04,,-46.19,,4.36,8.68,0.3013,1.2811,no_data,no,neither,0.0,0.0,0.0
ITGA11,COL1A1,4,30.93,,9.61,,-0.59,8.68,-0.4871,1.2811,no_data,no,neither,0.0,0.0,0.0
ITGA2,COL1A1,4,4.21,,0.74,,-1.09,8.68,-0.4748,1.2811,no_data,no,neither,0.0,0.0,0.0
ITGA5,COL1A1,4,33.0,,17.47,,0.93,8.68,0.3136,1.2811,no_data,no,neither,0.0,0.0,0.0
ITGB1,COL1A1,4,118.2,,334.47,,5.8,8.68,0.4347,1.2811,no_data,no,neither,0.0,0.0,0.0
TMPRSS6,COL1A1,3,2.52,,0.33,,-0.05,8.68,-20.3012,1.2811,no_data,no,neither,0.0,0.0,0.0
CD36,COL1A2,3,-12.65,,-99.2,,4.47,5.48,0.4882,0.5264,no_data,no,neither,0.0,0.0,0.0
CD44,COL1A2,4,45.04,,65.3,,4.13,5.48,0.4064,0.5264,no_data,no,neither,0.0,0.0,0.0
CD93,COL1A2,4,-3.02,,-15.73,,0.72,5.48,0.5064,0.5264,no_data,no,neither,0.0,0.0,0.0
ITGA11,COL1A2,3,30.93,,9.61,,-0.59,5.48,-0.4871,0.5264,no_data,no,neither,0.0,0.0,0.0
ITGA2,COL1A2,4,4.21,,0.74,,-1.09,5.48,-0.4748,0.5264,no_data,no,neither,0.0,0.0,0.0
ITGA2B,COL1A2,3,14.9,,2.76,,0.84,5.48,0.92,0.5264,no_data,no,neither,0.0,0.0,0.0
ITGB1,COL1A2,3,118.2,,334.47,,5.8,5.48,0.4347,0.5264,no_data,no,neither,0.0,0.0,0.0
ITGB3,COL1A2,4,13.35,,4.57,,0.53,5.48,0.295,0.5264,no_data,no,neither,0.0,0.0,0.0
DDR1,COL2A1,4,23.08,2.87,4.04,5.33,1.52,-0.01,0.2614,-17.7195,no,trend,human_only,0.0,0.0038,0.0019
ITGA10,COL2A1,4,0.57,2.87,-0.01,5.33,0.52,-0.01,0.6878,-17.7195,no,trend,human_only,0.0,0.0013,0.0007
ITGA2,COL2A1,4,4.21,2.87,0.74,5.33,-1.09,-0.01,-0.4748,-17.7195,no,no,neither,0.0,0.0,0.0
ITGA2B,COL2A1,3,14.9,2.87,2.76,5.33,0.84,-0.01,0.92,-17.7195,no,trend,human_only,0.0,0.0021,0.0011
ITGB1,COL2A1,4,118.2,2.87,334.47,5.33,5.8,-0.01,0.4347,-17.7195,no,trend,human_only,0.0,0.0145,0.0073
MAG,COL2A1,4,-0.12,2.87,-1.11,5.33,0.05,-0.01,1.3161,-17.7195,no,trend,human_only,0.0,0.0002,0.0001
TNFRSF10A,COL2A1,4,,2.87,,5.33,0.1,-0.01,0.1391,-17.7195,no_data,trend,human_only,0.0,0.0003,0.0001
DDR1,COL3A1,4,23.08,,4.04,,1.52,13.09,0.2614,0.908,no_data,no,neither,0.0,0.0,0.0
DDR2,COL3A1,4,-11.04,,-46.19,,4.36,13.09,0.3013,0.908,no_data,no,neither,0.0,0.0,0.0
MAG,COL3A1,4,-0.12,,-1.11,,0.05,13.09,1.3161,0.908,no_data,no,neither,0.0,0.0,0.0
CD93,COL4A1,4,-3.02,23.79,-15.73,154.56,0.72,0.61,0.5064,0.176,no,no,neither,0.0,0.0,0.0
ITGA1,COL4A1,4,43.44,23.79,5.01,154.56,0.71,0.61,0.0624,0.176,no,no,neither,0.0,0.0,0.0
ITGAV,COL4A1,4,71.96,23.79,50.48,154.56,1.38,0.61,0.1033,0.176,no,no,neither,0.0,0.0,0.0
ITGB1,COL4A1,4,118.2,23.79,334.47,154.56,5.8,0.61,0.4347,0.176,no,no,neither,0.0,0.0,0.0
ITGB8,COL4A1,4,31.41,23.79,12.0,154.56,0.09,0.61,0.0184,0.176,no,no,neither,0.0,0.0,0.0
CD93,COL4A2,4,-3.02,63.94,-15.73,154.63,0.72,1.48,0.5064,0.4063,no,no,neither,0.0,0.0,0.0
CD47,COL4A3,4,-66.57,-23.5,-174.06,-24.83,5.31,0.96,0.4753,0.4485,no,no,neither,0.0,0.0,0.0
CD93,COL4A3,4,-3.02,-23.5,-15.73,-24.83,0.72,0.96,0.5064,0.4485,no,no,neither,0.0,0.0,0.0
ITGAV,COL4A3,4,71.96,-23.5,50.48,-24.83,1.38,0.96,0.1033,0.4485,yes,no,mouse_only,0.2387,0.0,0.1193
CD93,COL4A4,3,-3.02,-47.4,-15.73,-58.58,0.72,0.81,0.5064,0.2491,no,no,neither,0.0,0.0,0.0
CD93,COL4A5,4,-3.02,49.35,-15.73,24.42,0.72,-3.95,0.5064,-0.3239,no,trend,human_only,0.0,0.0117,0.0058
CD93,COL4A6,4,-3.02,-0.86,-15.73,-2.87,0.72,-1.53,0.5064,-0.3996,no,trend,human_only,0.0,0.0056,0.0028
SDC3,COL5A1,4,65.09,203.93,28.9,684.56,1.53,1.33,0.9631,0.179,no,no,neither,0.0,0.0,0.0
DDR1,COL5A2,4,23.08,244.53,4.04,inf,1.52,2.99,0.2614,0.2274,no,no,neither,0.0,0.0,0.0
SDC3,COL5A3,3,65.09,12.39,28.9,1.93,1.53,0.89,0.9631,0.8725,no,no,neither,0.0,0.0,0.0
ITGA1,COL8A1,4,43.44,134.1,5.01,inf,0.71,3.71,0.0624,0.3074,no,no,neither,0.0,0.0,0.0
ITGA2,COL8A1,4,4.21,134.1,0.74,inf,-1.09,3.71,-0.4748,0.3074,no,no,neither,0.0,0.0,0.0
MAG,COL9A1,4,-0.12,2.73,-1.11,2.82,0.05,0.31,1.3161,0.394,no,no,neither,0.0,0.0,0.0
MAG,COL9A2,4,-0.12,36.86,-1.11,23.63,0.05,0.52,1.3161,0.6156,no,no,neither,0.0,0.0,0.0
MAG,COL9A3,4,-0.12,5.32,-1.11,3.12,0.05,-0.13,1.3161,-1.198,no,trend,human_only,0.0,0.0005,0.0002
MUSK,COLQ,4,0.21,0.53,-0.86,-0.33,7.0,1.64,1.3092,0.4136,no,no,neither,0.0,0.0,0.0
GHSR,CORT,4,0.0,0.26,0.04,2.38,-0.0,-0.12,-15.318,-2.1756,no,no,neither,0.0,0.0,0.0
MRGPRX2,CORT,4,,0.26,,2.38,0.01,-0.12,-0.364,-2.1756,no_data,trend,human_only,0.0,0.0003,0.0002
SSTR1,CORT,5,-0.07,0.26,-3.07,2.38,1.05,-0.12,0.8495,-2.1756,no,trend,human_only,0.0,0.0029,0.0015
SSTR2,CORT,5,0.19,0.26,1.73,2.38,0.01,-0.12,-0.0397,-2.1756,no,trend,human_only,0.0,0.0003,0.0002
SSTR3,CORT,5,0.02,0.26,-0.43,2.38,-0.01,-0.12,-17.198,-2.1756,no,no,neither,0.0,0.0,0.0
SSTR4,CORT,5,,0.26,,2.38,,-0.12,,-2.1756,no_data,no,neither,0.0,0.0,0.0
SSTR5,CORT,5,,0.26,,2.38,,-0.12,,-2.1756,no_data,no,neither,0.0,0.0,0.0
SLC40A1,CP,4,5.52,-59.76,-2.74,-158.13,10.19,1.49,1.1484,0.7334,yes,no,mouse_only,0.1632,0.0,0.0816
SCTR,CPAMD8,4,-0.0,,-0.05,,1.67,0.61,1.651,0.9577,no_data,no,neither,0.0,0.0,0.0
CRHR1,CRH,5,,,,,-0.04,,0.0102,,no_data,no,neither,0.0,0.0,0.0
CRHR2,CRH,5,-0.07,,-1.63,,0.34,,1.9055,,no_data,no,neither,0.0,0.0,0.0
MC2R,CRH,3,-0.12,,-2.38,,-0.0,,-16.743,,no_data,no,neither,0.0,0.0,0.0
ACVR1B,CRIPTO,4,7.97,0.05,1.05,3.07,1.58,-0.0,0.3542,-0.1696,no,trend,human_only,0.0,0.004,0.002
ACVR1C,CRIPTO,3,0.17,0.05,0.3,3.07,-0.26,-0.0,-1.0491,-0.1696,no,no,neither,0.0,0.0,0.0
ACVR2A,CRIPTO,4,12.91,0.05,2.08,3.07,-0.23,-0.0,-0.0667,-0.1696,no,no,neither,0.0,0.0,0.0
OLR1,CRP,4,0.18,0.02,-0.31,2.43,-1.05,,-2.507,,no,no,neither,0.0,0.0,0.0
CSF1R,CSF1,5,-1.57,13.46,-7.22,-16.12,0.31,1.92,0.5511,0.3125,no,no,neither,0.0,0.0,0.0
CSF1R,CSF2,3,-1.57,0.33,-7.22,1.38,0.31,-0.0,0.5511,-15.5008,no,trend,human_only,0.0,0.0008,0.0004
CSF2RA,CSF2,4,33.38,0.33,9.24,1.38,0.15,-0.0,-0.0375,-15.5008,no,trend,human_only,0.0,0.0004,0.0002
CSF2RB,CSF2,4,1.06,0.33,-0.12,1.38,0.11,-0.0,0.9318,-15.5008,no,trend,human_only,0.0,0.0003,0.0001
CSF3R,CSF2,4,0.2,0.33,-1.38,1.38,0.18,-0.0,0.5186,-15.5008,no,trend,human_only,0.0,0.0005,0.0002
IL3RA,CSF2,4,62.79,0.33,29.1,1.38,1.75,-0.0,0.7325,-15.5008,no,trend,human_only,0.0,0.0044,0.0022
SDC2,CSF2,4,-53.81,0.33,-199.44,1.38,0.44,-0.0,-0.0586,-15.5008,no,trend,human_only,0.0,0.0011,0.0006
CSF1R,CSF3,3,-1.57,-0.34,-7.22,-1.32,0.31,-0.02,0.5511,-18.1958,no,trend,human_only,0.0,0.0008,0.0004
CSF3R,CSF3,5,0.2,-0.34,-1.38,-1.32,0.18,-0.02,0.5186,-18.1958,trend,trend,CONSERVED_relaxed,0.0013,0.0005,0.0009
PRLR,CSH1,4,-1.09,,-1.62,,0.54,-0.0,0.7544,-15.6062,no_data,trend,human_only,0.0,0.0014,0.0007
PRLR,CSH2,3,-1.09,,-1.62,,0.54,,0.7544,,no_data,no,neither,0.0,0.0,0.0
IL6ST,CTF1,4,28.27,24.24,5.93,7.54,6.01,0.13,0.3514,0.1035,no,no,neither,0.0,0.0,0.0
LIFR,CTF1,4,-2.99,24.24,-14.72,7.54,2.4,0.13,0.2952,0.1035,no,no,neither,0.0,0.0,0.0
FZD3,CTHRC1,4,11.79,241.6,3.23,inf,-0.24,0.26,-0.0643,0.786,no,no,neither,0.0,0.0,0.0
FZD5,CTHRC1,4,34.95,241.6,16.61,inf,-0.17,0.26,-0.3016,0.786,no,no,neither,0.0,0.0,0.0
FZD6,CTHRC1,4,15.8,241.6,4.0,inf,2.18,0.26,0.2517,0.786,no,no,neither,0.0,0.0,0.0
LRP2,CUBN,3,-4.47,1.63,-3.07,0.27,1.3,0.52,0.123,0.1883,no,no,neither,0.0,0.0,0.0
CX3CR1,CX3CL1,5,0.37,32.43,-2.03,12.1,0.08,0.33,0.6458,0.5452,no,no,neither,0.0,0.0,0.0
ACKR1,CXCL1,5,-2.03,1.94,-2.78,-1.6,-0.03,0.56,-1.64,0.1031,no,no,neither,0.0,0.0,0.0
CXCR1,CXCL1,5,,1.94,,-1.6,-0.0,0.56,-16.0767,0.1031,no_data,no,neither,0.0,0.0,0.0
CXCR2,CXCL1,5,3.18,1.94,-20.21,-1.6,-0.01,0.56,-18.1818,0.1031,no,no,neither,0.0,0.0,0.0
CCR3,CXCL10,4,-0.01,7.03,-0.28,19.7,0.04,-0.02,0.7289,-0.3901,no,trend,human_only,0.0,0.0001,0.0001
CXCR3,CXCL10,5,-0.11,7.03,-5.2,19.7,0.07,-0.02,2.4483,-0.3901,no,trend,human_only,0.0,0.0002,0.0001
SDC4,CXCL10,4,10.67,7.03,-41.42,19.7,4.42,-0.02,0.6729,-0.3901,no,trend,human_only,0.0,0.0111,0.0056
ACKR3,CXCL11,5,-98.63,0.03,-252.8,0.96,-0.98,-0.05,-0.2062,-19.8847,no,no,neither,0.0,0.0,0.0
CCR3,CXCL11,4,-0.01,0.03,-0.28,0.96,0.04,-0.05,0.7289,-19.8847,no,trend,human_only,0.0,0.0002,0.0001
CXCR3,CXCL11,5,-0.11,0.03,-5.2,0.96,0.07,-0.05,2.4483,-19.8847,no,trend,human_only,0.0,0.0003,0.0002
ACKR3,CXCL12,4,-98.63,55.82,-252.8,129.72,-0.98,1.0,-0.2062,0.4047,no,no,neither,0.0,0.0,0.0
CD4,CXCL12,4,-0.19,55.82,-4.06,129.72,-0.07,1.0,-0.4882,0.4047,no,no,neither,0.0,0.0,0.0
CXCR3,CXCL12,4,-0.11,55.82,-5.2,129.72,0.07,1.0,2.4483,0.4047,no,no,neither,0.0,0.0,0.0
CXCR4,CXCL12,5,0.41,55.82,-1.02,129.72,-0.08,1.0,-1.3128,0.4047,no,no,neither,0.0,0.0,0.0
ITGB1,CXCL12,4,118.2,55.82,334.47,129.72,5.8,1.0,0.4347,0.4047,no,no,neither,0.0,0.0,0.0
ACKR4,CXCL13,5,-23.12,0.43,-53.5,-39.5,0.56,0.29,0.7192,1.2227,no,no,neither,0.0,0.0,0.0
CCR10,CXCL13,4,0.03,0.43,-0.45,-39.5,0.13,0.29,0.2108,1.2227,no,no,neither,0.0,0.0,0.0
CXCR3,CXCL13,4,-0.11,0.43,-5.2,-39.5,0.07,0.29,2.4483,1.2227,no,no,neither,0.0,0.0,0.0
CXCR5,CXCL13,5,0.01,0.43,-1.64,-39.5,0.22,0.29,1.4909,1.2227,no,no,neither,0.0,0.0,0.0
CXCR4,CXCL14,3,0.41,-38.16,-1.02,-406.12,-0.08,-0.0,-1.3128,-0.1572,trend,no,mouse_only,0.0964,0.0,0.0482
CXCR6,CXCL16,5,0.44,16.39,-1.08,-23.17,0.02,1.32,0.8253,0.9362,no,no,neither,0.0,0.0,0.0
CXCR1,CXCL2,4,,5.75,,4.13,-0.0,0.06,-16.0767,-0.1545,no_data,no,neither,0.0,0.0,0.0
CXCR2,CXCL2,5,3.18,5.75,-20.21,4.13,-0.01,0.06,-18.1818,-0.1545,no,no,neither,0.0,0.0,0.0
XCR1,CXCL2,4,1.93,5.75,-1.58,4.13,-0.01,0.06,-17.8731,-0.1545,no,no,neither,0.0,0.0,0.0
CXCR1,CXCL3,4,,0.43,,-0.58,-0.0,0.0,-16.0767,-0.502,no_data,no,neither,0.0,0.0,0.0
CXCR2,CXCL3,5,3.18,0.43,-20.21,-0.58,-0.01,0.0,-18.1818,-0.502,no,no,neither,0.0,0.0,0.0
ACKR1,CXCL5,4,-2.03,29.44,-2.78,49.13,-0.03,-0.0,-1.64,-15.8445,no,no,neither,0.0,0.0,0.0
CXCR1,CXCL5,5,,29.44,,49.13,-0.0,-0.0,-16.0767,-15.8445,no_data,no,neither,0.0,0.0,0.0
CXCR2,CXCL5,5,3.18,29.44,-20.21,49.13,-0.01,-0.0,-18.1818,-15.8445,no,no,neither,0.0,0.0,0.0
CXCR1,CXCL6,5,,,,,-0.0,1.36,-16.0767,0.9579,no_data,no,neither,0.0,0.0,0.0
CXCR2,CXCL6,5,3.18,,-20.21,,-0.01,1.36,-18.1818,0.9579,no_data,no,neither,0.0,0.0,0.0
ACKR1,CXCL8,5,-2.03,,-2.78,,-0.03,-0.71,-1.64,-2.5704,no_data,no,neither,0.0,0.0,0.0
CXCR1,CXCL8,5,,,,,-0.0,-0.71,-16.0767,-2.5704,no_data,no,neither,0.0,0.0,0.0
CXCR2,CXCL8,5,3.18,,-20.21,,-0.01,-0.71,-18.1818,-2.5704,no_data,no,neither,0.0,0.0,0.0
SDC1,CXCL8,4,89.79,,53.42,,0.23,-0.71,3.2825,-2.5704,no_data,trend,human_only,0.0,0.0023,0.0012
SDC2,CXCL8,4,-53.81,,-199.44,,0.44,-0.71,-0.0586,-2.5704,no_data,trend,human_only,0.0,0.0029,0.0014
